about,cgpa_cutoff,com_id,contract,criteria,dep_str,jnf_id,name,package,profile,selection,status,type
"Software Engineers are primarily responsible for: 
 Planning: o Understanding customer requirements. o Assisting with project planning, scoping, prioritization. o Providing estimates; Identifying task ownership.  Design: o Creating simple, flexible and comprehensive designs. o Providing and soliciting design feedback.  Implementation: o Writing quality code at source. o Authoring validation tests; Providing timely issue resolutions.",7.0,69,No,CGPA 7 and Above,AT_CS_EE_EC_TE_MA_RE,5,Microsoft India Pvt. Ltd.,"108000 USD  [Base Pay: 108000
Variable Pay: 21600 (max potential)
Joining Bonus: 15000
RSU: worth 70000
Total CTC: 214600]",Software Engineer,Online/Offline test (Max 30 mins),1,PLACEMENT
"2020 FTE - Software Engineer
Location: Hyderabad, India
This is your time to shine and be part of Salesforce, a world leader in enterprise cloud computing. We
deliver innovative products to our customers 3 times a year through our leading CRM platform using agile
practices. As software engineering graduate you will get to contribute right away as a member of one of
our Scrum teams to one or more software engineering aspects into the future releases.
You will get to be part of one or more aspects of the engineering lifecycle of tools and/ or features that
enable our solutions to reach millions of end users and enterprises who use our mission critical
applications and services everyday to run their business. We also look to you to help deliver high quality
software through automated testing, and own your service in production with real-time monitoring tools
and frameworks.
Responsibilities include but not limited to:
● Develop well-tuned products using latest coding constructs that may be included as part of our
next software release
● Contribute to our suite of automated tests and testing infrastructure
● Implement code fixes under the direction of software architects and senior developers
● Contribute to tools and solutions to support and monitor our various cloud services
Eligibility criteria:
● B.E/ B.Tech graduating in 2020 in Computer Science, Electrical, Electronics, or equivalent
disciplines with specialization in computer science.
● 7 CGPA and above with no backlogs.
Required Skills:
● Academic or professional/internship experience in the field of software engineering
● Strong knowledge on Software Engineering fundamentals such as Data Structures and
Algorithms, Object Oriented Programming and design
● Strong analytical and problem-solving skills
● Be a self-starter and possess strong sense of self-motivation
Desired Skills:
● Expertise in one or more programming languages such as Java/C++/Python
● Understanding of object-oriented programming & design.
● Working knowledge of web technologies
● Coursework in SQL and relational database concepts
● Strong competency in Java language, JavaScript and related frameworks
● Strong skills in Data Structures, OOPs Concept and Algorithms
About Futureforce
FutureForce is for college students or new grads wanting to experience life at Salesforce, one of
the Worlds Most Innovative Companies 5 -years- running and one of Fortunes 100 Best
Companies to Work For 8- years-running. FutureForce interns work on live projects, giving
them the opportunity to make a tangible impact that they can show to friends, family, and future
employers if we dont hire them first (and, we hire 80% of our eligible interns)!
They have the chance to collaborate and connect with the Salesforce interns from all over the
world. And, like all Salesforce employees, interns also have many possibilities to volunteer,
making a lasting impact in the community.
FutureForce offers a collaborative work environment, which fosters innovation, provides
flexibility and most importantly is fun!",7.0,70,No,"7 and above CGPA, Shortlisting baaed on 90 mins Technical test",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,Salesforce,"2550000 INR  [ON TARGET EARNINGS
COMPENSATION
BASE	15L INR
RSU	$19000 USD
SIGN ON	2L INR
PERFORMANCE BONUS	10% OF BASE (1.5L INR)
OTHER BENEFITS
BENEFITS
REALLOCATION	1 MONTH STAY+ONWARD FLIGHT REIMBURSEMENT
WELLNESS	60K INR PA
DENTAL/VISION	15K INR PA
MEDICAL INSURANCE	7L INR (EMPLOYEE + 5 DEPENDENTS)
TERM LIFE INSURANCE	3XBASE
GROUP PERSONAL ACCIDENT COVER	3XBASE
EDUCATION	~$5000 PA USD
REFERRAL BONUS	$2000 USD
 COMPENSATION
BASE	15L INR
RSU	$19000 USD
SIGN ON	2L INR
PERFORMANCE BONUS	10% of Base (1.5L INR)
OTHER BENEFITS
BENEFITS
REALLOCATION	1 Month Stay+Onward Flight Reimbursement
WELLNESS	60K INR PA
DENTAL/VISION	15K INR PA
MEDICAL INSURANCE	7L INR (EMPLOYEE + 5 DEPENDENTS)
TERM LIFE INSURANCE	3XBASE
GROUP PERSONAL ACCIDENT COVER	3XBASE
EDUCATION	~$5000 PA USD
REFERRAL BONUS	$2000 USD]",Associate Member of Technical Staff,Online/Offline test (Max 30 mins),1,PLACEMENT
"DATA PROCESSING & ANALYSIS: to
retrieve, transform, classify or
manipulate data information.
INSIGHT GENERATION: analyse data,
problems, and situations
TRENDS / PATTERN ANALYSIS: study
business data over time, use of
statistical techniques, algorithms
BUILDING APPLICATIONS: Create and
customize Business applications on
multiple platforms
DATA MANAGEMENT: Development
and execution of architectures,
policies, practices and procedures",0.0,71,NO,"10th 80% , 12th 70%, Grad 60% and PG 6 CGPA & above with no backlog",AE_AG_BT_CH_CE_CS_EE_EC_IM_MA_ME_MT_MI_NA,1,Axtria India Pvt. Ltd.,"1000000 INR  [10 Lakh fixed cash + benefits (1500 per month transport allowance, Meal Subsidy, CEP (continuous education program), etc.)  + 2 Lakh medical insurance for self and parents.]",Analyst,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Job Description  Technology Consulting
Position: Consultant/Associate
About PwC
PwC is one of the largest professional services firm in the world with a presence in over 158 countries and
more than 2,50,000 people who are committed to deliver quality.
Roles and responsibilities
The Consultant will be working for any one of the Technology Consulting competencies of PwC India. As a Consultant with PwC India, you will play a key role in the engagement execution. You will be provided with varied responsibilities including client acquisition support, assisting in solution design, contributing to engagement execution as a team member and on-ground client management. We encourage our Consultant to participate in senior management meetings during the course of the project delivery.Consultants are provided with opportunities to contribute to various thought leadership initiatives. Our Consultants are excellent generalists and have a strong ability to work with managers with diverse backgrounds. Typically, consultants start focusing on specific industries/functional expertise as they move up the hierarchy in the firm
Essential Skills
 Basic problem solving skills
 Excellent communication skills including proficiency in English language
 Proficiency in excel and power point
 Open to regular travel; in some cases extended stay in tier 2 and tier 3 cities
 Self-disciplined and self -motivated
 Ability to innovate, create lasting relationships and work independently with little supervision",0.0,72,NO,"70% and above throughout academics (10th, 12th, UG/PG).  BE/BTECH (2016-2020) batch only, M.tech (2018 -2020) batch only, M.Sc & Dual Degree (2015-2020) batch only, Candidate should have no active backlogs",CS_EE_EC_HS_IM_MA_ME_MT_PH,3,PwC India,"1030000 INR  [B.tech & M.Sc - 9.70 LPA approx (Total CTC). Fixed CTC - 7.5 LPA
M.tech/Dual - 10.3 LPA approx (Total CTC). Fixed CTC - 8 LPA
Refer to attached file for compensation breakup.]",Consultant/Associate,Online/Offline test (Max 30 mins),1,PLACEMENT
"What you get to do in this role:

Develop brand new products from scratch
Interact with Product manager/UX designer, brainstorm on product ideas, requirements and design a solution
Develop MVP, launch it to beta customers get feedback and refine the product
Convert MVP to a functional, robust product after customer validation or change course and do a pivot
Write Unit tests, architect the system to be modular, scalable and robust
Have fun and make the overall experience joy for self and others around

In order to be successful in this role, we need someone who has:

Good design skills with OOP/OOD/Functional programming
Test Driven Development
Strong design, programming and debugging skills
Strong working experience in React/Angular/Vue/Redux
High degree of proficiency in HTML/CSS/JavaScript
Experience in product development
E./B.Tech./M.E./M.S./M.Tech. from Computer Science, Electronics and Communications and Electrical Engineering fields with excellent academic record

We provide competitive compensation, generous benefits and a professional atmosphere. This is a very collaborative and inclusive work environment where individuals strong on aptitude and attitude will have an opportunity to grow their professional careers through working with some of the most advanced technology and talented developers in the business.",0.0,73,No,"Preferred Streams:
B.Tech: Computer Science, ECE & EEE
M.Tech: Computer Science, IT, ECE, EEE & Maths",AT_CS_EE_EC_MA,1,Servicenow,2533964 INR  [2533964 (Base - 1100000 + Perf Bonus - 110000 + Retirals - 73964 + SignOn Bonus - 300000 (1L on 2nd Payroll + 1L on 13th Payroll + 1L on 19th Payroll) + RSU's - 800000 (vesting cycle of 4 years - 25% each year) + Relo Allowance - 150000],Associate Software Engineer,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Responsibilities
● Responsible for completion of features, working on it in collaboration with the team
● Writing Robust, bug-free code covered using Unit Tests following best software engineering practices
● Covering all the business scenarios and making sure the architectural changes are reviewed by the members of the team
● Active Participation in code reviews.

Must-haves:
● Excellent in data structures, analyzing and solving problems
● Excellent understanding of Object Oriented Programming
● B.Tech/B.E. in Computer Science and Engineering
● Understanding of RESTful APIs
● Good knowledge of programming languages like Java, Javascript, Python, Perl, Ruby, etc.
● Good knowledge of HTML5, CSS, JavascriCoffeeScriptript and front-end frameworks like AngularJS, ReactJS
● Good understanding of using Git
● Understanding of how the web works in general
● You cant live without writing beautiful code
● Passionate to work in a startup
● Preferably have knowledge of the force

It would be a plus if:
● You have good Knowledge of MVC frameworks like Ruby on Rails/Python Django
● You have good understanding of Backend and Frontend development
● You are flexible to work on any Tech Stack
● Good in analyzing and solving problems",,74,No,,CS_EC,1,Bizongo,1800000 INR  [18 LPA (15 lpa fixed+1.5 lpa variable paid annually+1.5 joining bonus paid with first month salary)],Software Engineer-I,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"Now with ~200,000 people in over 40+ countries, Capgemini is one of the world's foremost providers of
consulting, technology and outsourcing services. The Group reported 2017 global revenues of EUR 12.8 billion.
Together with its clients, Capgemini creates and delivers business, technology and digital solutions that fit
their needs, enabling them to achieve innovation and competitiveness. A deeply multicultural organization,
Capgemini has developed its own way of working, the Collaborative Business ExperienceTM, and draws on
Rightshore®, its worldwide delivery model. For more details, please visit www.capgemini.com.",0.0,75,NO,,AT_AE_AG_BT_CL_CH_CE_CS_EE_EC_ES_GG_TE_IM_MS_MA_ME_MT_MI_NA_PH_RT_WM_RE,1,Capgemini Technology Services India ltd,850000 INR  [850000],Associate Consultant,Online/Offline test (Max 30 mins),1,PLACEMENT
"Company Profile:
Merilytics is a fast-growing, analytics firm offering advanced and intelligent analytical solutions to clients globally. We combine domain expertise, advanced analytics and technology to provide robust solutions for clients business problems. You can find further details about the company at https://merilytics.com We partner with our clients in the Private Equity, CPG, Retail, Media & Entertainment, Consumer Finance industries etc. by providing analytical solutions to generate superior returns. We solve clients business problems by analyzing large amount of data to help guide their Operations, Marketing, Pricing, Customer Strategies, and much more.
Job description for Senior Analyst role:
 We expect you to cleanse the data, analyze the data and create valuable business insights for the client
 We don't just want you to write formulae and queries, but we expect you to dig into the data, analyze it, and present actionable business insights directly to the clients.
 You should respect our five core values - Client First, Excellence, Integrity, Respect and Teamwork
 You will probably work on Excel, PowerPivot, SQL, R or Python and a few BI tools, based on the specific client problem that you are solving
Pre-requisites and skillsets for this role:
 Interested in working for a high-growth firm where your analysis drives really important decisions
 Strong communication skills enabling you to clearly communicate your thoughts/work to the client or internal teams
 Strong Excel modelling skills and ability to build large dynamic models
 Ability to use business judgement and a structured approach towards solving complex problems
 Knowledge of SQL, R or Python a huge bonus
What is in it for me if I join Merilytics:
High growth environment: How fast you grow within the company into leadership positions with greater responsibility is only dependent on your performance and contributions; Semi-annual performance management and promotion cycles enabling fast track to leadership responsibility
Unparalleled quality of work: Exposure to CXO level at the clients enabling to hone your capabilities; Solve interesting and hard problems across multiple industries and domains that keeps you always excited and motivated; Integrated technology and business teams that offers a strong foundation for building sustainable data science culture",0.0,77,No,"CGPA => 6.5
12 %   => 65%
10%  => 65%",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Merilytics,"6,00,000 INR  [Pay Item (per month)	Amount in Rs. ( Annual )
Basic	                        3,00,000
HRA 	                        1,20,000
Conveyance	                19,200
Medical Allowance	         15,000
Telecom Allowance	         18,000
Apparel Allowance	          24,000
LTA	                                  25,000
Special Allowance	          78,800
Gross salary ( A )	           6,00,000
                         Estimated Deductions	
Mediclaim	                               3,000
Employer contribution to EPF	       21,600
Employee contribution to EPF	       21,600
Professional Tax (Telangana)	       2,400
Total deductions ( B )	               48,600
Estimated Net Pay ( C = A - B )	5,51,400
Variable Pay ( D )	              up to 1,10,000
Retention Bonus ( E )	                1,00,000
Total CTC ( A + D + E)	                8,10,000]",Senior Analyst,"GD,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Hiring for: Product 
 
Position type: Full Time & Permanent 
 
 Description: 
 
We are in an exciting journey towards a full-scale event driven Micro-Service architecture to enable data consistency while scaling to a range of platforms and devices - web, mobile browsers, native android apps, handheld devices, sortation systems etc. We are actively looking for people who like to get their hands dirty with AWS Kinesis / Lambda, Python, Java, Node or similar architecture As a backend developer at Delhivery you are expected to work closely with Product team to do rapid development of new features / enhancements, work with the Data Services team to design and build data stores, write effective MapReduce / aggregations, write quality code and work with your lead and team to drive quality and efficiency. 
 
Roles and responsibilities: 
 
- Develop innovative solutions based on product requirements and business challenges - Participate in architectural, design and product sessions - Provide task estimations and deliver quality code on time - Drive code reviews, enforce standards & best practices - Research and apply new technologies and best practices - Design and create efficient RESTful endpoints for both internal and public consumption 
 
Education: 
 
- B.Tech/B.E/M.E/M.Tech/MS degree in Computer Science or equivalent courses 
 
Mandatory Skills and Experience: 
 
- Excellent coding skills in backend using any of the programming languages like Python/Java/C++/NodeJS (preferably Java/Python) - Very strong in Data Structures, Algorithms, Design Patterns - Exposure to mainstream RDBMS like MySQL, Postgres or Oracle - Knowledge of software development processes & agile methodologies 
 
Personal attributes: 
 
a) Good problem-solving skills b) Ability to work independently as well as in a team d) Willing to learn new technologies",0.0,78,NO,NO,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,Delhivery,800000 INR  [800000 fixed],Beckend Developer,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Description 
 
If you want to use Artificial Intelligence to solve the most pressing problems in the Indian logistics industry, or optimize the distribution network of Indias largest third party logistics provider, our data team is the place to be. We are the countrys premium data science team featured widely in press and news; see Factordaily, LeMonde, Economic Times 1, Economic Times 2. 
 
The team comprises of leading experts in the field of Operations Research and Particle Physics, along with budding engineers and scientists in the field of Machine Learning and Artificial Intelligence. 
 
In the recent past, the data science team at Delhivery has built key capabilities in the following areas: 
  Maps:  
 Our business relies heavily on understanding where our end customers live and how to get there. This is a huge India specific challenge, primarily because of the unstandardized way of writing addresses and poor quality of road/pincode data in smaller towns/villages. We process a large amount of location data from our devices on the ground to learn locality boundaries, routes taken by ground staff, etc. 
  Machine Learning:  
 We use a range of machine learning techniques to automate decision making at the ground level, e.g., identifying whether a shipment is safe to fly based on its product description, identifying which shipments have a high probability of being returned, etc. 
  Discrete Optimization:  
 We rely on a range of optimization methods to ensure our distribution network is designed for cost efficiencies and scale, e.g., Vehicle Routing Problem to optimize the shipment collection process from clients, Facility Location Problem to ensure our distribution centres are suitably located, etc. 
 Simulation:  
 The scale of our distribution network often makes many problems intractable due to the existence of millions of variables and how they interact with each other over time. We are investing to build an in-house Simulator to enable us to measure the impact of changes in the network over time and ultimately design a system that can be self aware"". 
 We are looking to expand our team to further our capabilities in these areas. 
 
Responsibilities: 
  Contribute to the development/ deployment of machine learning algorithms, operational research, semantic analysis, and statistical methods for finding 
structure in large data sets  Use advanced statistics and machine learning on large scale multidimensional data and generate actionable insights that will be leveraged to drive operations and 
develop strategies for Delhivery.  Breakdown business problems by working closely with Product Team and Leadership Management Team, analyze requirements and look into data to 
recommend products and solutions  Optimize Delhivery operations by applying data science in solving complex business problems  Collaborate with cross-functional teams including but not limited to Logistics, BD, Sales, Marketing, Security, Customer Service, etc.  Disseminate original research in peer reviewed journals and conferences Qualifications 
 
A suitable candidate should satisfy as many of the following requirements: 
  B.Tech/PhD/M.Tech/M.S in Computer Science, Operational Research, Statistics, Applied Mathematics or Natural Sciences with a very clear understanding of probability and statistics, analytical approach to problem solving, and capability to think critically on a diverse array of problems. Publications in peer-reviewed",0.0,78,No,,AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_ES_EV_GG_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_ID_RT_WM_RE,2,Delhivery,1200000 INR  [1200000 fixed],Data Scientist,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Analyst, Business Analytics

Description
If you want to forecast Indias eCommerce demand within 3% margin, build consumer models and scores for 50 million online shoppers, or decide the location of eCommerce fulfilment center based on future growth, our data team is the place to be. We are countrys premium data science team featured widely in press and news.

Responsibility
Use advanced statistics and machine learning on large scale multidimensional data and generate actionable insights that will be leveraged to drive operations and develop strategies for Delhivery.
Plan and own the lifecycle of simple project and own quality for it
Communicate complex information in a structured way with stakeholders
Manage and mentor other analysts

Qualifications
B.Tech, M.Stat/ MA, M.Sc. (Economics)/ Math or other equivalent degree from reputed institute ISI, IISc, IIT, Delhi School of Economics, IIIT, Chennai Mathematical Institute, or abroad with a strong conceptual understanding of various statistical concepts
Able to structure a technical problem
Understanding of SQL / NoSQL databases
Sound knowledge of tools (specifically R/Python) used in statistical analysis
Good understanding of techniques such as Regression, Time Series, Basic ML concepts
Proficient with MS office  specifically MS Excel and PowerPoint",0.0,78,no,no,AT_AE_AG_AR_BS_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_WM_RE,3,Delhivery,800000 INR  [800000],Analyst- Business Analytics,Online/Offline test (Max 30 mins),1,PLACEMENT
"Our Position: iOS Developer                                                                                                                  Location:  Mumbai
URGENT hire: Position closes at speed of light! We hire fast, we hire smart!

Develop proprietary B2B logistics and B2C iOS apps with deep industry understanding acquired from interacting with Business Analysts and Founders' Staff, and attending the not-so-rare client meeting. Get to be the internal champion for latest APIs and be part of breakthrough innovations in the GPS-led location-science and logistics analytics space, where GrayRoutes is the undisputed 



IP leader, serving companies like P&G, Unilever, GSK, ADF Foods, Subway, Faasos with proprietary SaaS solutions and hyperlocal services extended through its strategic partner network.

This is no ordinary role. Developers have acquired knowledge, wealth, Director's appreciation, team leadership experience and more recently, even international exposure, all in the safety of a self-sustainable yet hyper-growth business model with consistent 400% YoY revenue growth, high Gross Margins, and with growth capital from industry's most reputed and smartest investors. Developers from GrayRoutes have gone on to become leads in top-most startups in Indian ecosystem and are one of industry's most in-demand talent, sought for their problem-solving abilities, rock-stable code, and sound execution at the speed of light.

Requirements:
BS/MS/B.Tech./BE degree in Computer Science, Engineering or a related subject
Proven software development experience in retail/LBS/logistics space (preferable)
Proven working experience in iOS development (2-5 yrs)
Have published at least two original iOS/Android apps on Play Store/App Store or other platforms
Hands on Experience working on Objective - C is must	
Familiar with Core Java or C# and SQL database technologies
Strong understanding of mobile UI/UX guidelines and best practices
HTML5 and CSS3, JAVA Script, XML, REST, JSON for remote data
Experience integrating with ERP technologies (e.g., Oracle, SAP, Botree) a plus
Exceptionally strong moral fibre and compliance to employer's NDA terms",,79,NO,,CS,3,Gray Routes Technology Pvt Ltd,800000 INR  [All Fixed.],iOS Developer,Resume,0,PLACEMENT
"AI HOKKAIDO LAB, our Research & Development Center in Sapporo, Hokkaido JPN is seeking to welcome exceptional AI, Computer Vision and Image Processing engineers who are interested in both innovating in the field and applying and integrating innovations into products and services.
You will be working in a vibrant and dynamic work environment in a very fast growing company and will be given great opportunities to work on the cutting edge projects and researches that would be able to bring your ideas to life.",0.0,82,NO,"1. Excellent programming skills in Python/Matlab and C/C++ 2. Solid knowledge on Deep Learning frameworks such as Caffe, Torch/PyTorch, TensorFlow, MXNet, or NNabla is a strong plus 3. Relevant work or academic experience on Computer Vision/ Image Processing using Deep Learning is a plus 4. Familiarity with cloud services like Microsoft Azure etc. 5. Strong working knowledge of scripting to automate the processing of large datasets 6. Strong communication and organization skills, with a logical approach to problem-solving, good time management, and task prioritization skills 7. Rich experiences in software development companies or other research firms, especially overseas",AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_ID_RT_WM_RE,2,"AWL, Inc.","4000000 JPY  [Gross Annual Salary: 4000000(JPY)
#commuting allowance will be paid under the company regulations
Additional Allowances: VISA support, air-ticket from India to Japan]",AI ENGINEER / RESEARCHER,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Designation: Associate  Content Development
TEAM: CONTENT

As an Associate  Content Development, you will be responsible for
●	Creation of pedagogically rich content and assessments across Math, Science, English and general aptitude.
●	Making videos, films, games, simulations, adaptive-learning-journeys driven by cutting-edge pedagogy.
●	Building great scripts & storyboards for effective multimedia communication of content.
●	Mentoring students across the globe through various channels.
●	Taking classes across major centres in Bangalore for grades 1 through 12.
●	Interacting with the tech and product teams to suggest product features, try different teaching strategies, request specific data points as feedback, and make sure the product aligns with our vision for education. 
●	Integrating all of the above creations into deployable formats.

If you believe you have what it takes to be a part of Indias fastest-growing in-house edutainment team, you could fit in easily. Every role is an interdependent, and sometimes, cross-functional one.
You are expected to
●	have a passion for education, along with strong subject knowledge
●	be able to map theoretical knowledge to practical applications
●	have impeccable communication skills - verbal and written; a keen intuition for        
language
●	be a creative thinker and a meticulous editor with great attention to detail
●	show adaptability and quick learning of new concepts and tools
●	Show demonstrated ability to multi-task and think creatively while meeting deadlines
●	be able to make learning easy for students from different backgrounds and of different cognitive abilities
●	be a self-driven quick learner
●	immerse yourself in new problems and quickly find solutions
●	ideate and implement effective pedagogy and different teaching methodologies
●	be kind, collaborative, and a team player who people love working with 
●	have the ability to manage schedules and prioritize own work and that of others
●	have prior writing experience. Prior teaching experience is a plus.",0.0,85,NO,,AT_AE_AG_AR_BT_ET_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,1,BYJU'S - The Learning App,800000 INR  [800000 INR [CTC = 700000 LPA (Gross) + 100000 LPA(Variable)]],Associate - Content Development,Online/Offline test (Max 30 mins),1,PLACEMENT
"What can the candidate expect from UIDAI?
UIDAI promises to provide a life changing experience in technology deployment and usage for the unreached. This opportunity will be unique and unparalleled for selected candidates, where your skills and dedication could be of immense help to the Digital India transformation initiative. What UIDAI promises is not just a job or money but the experience that will help you in your career advancement forever. Some of the learning opportunities that we promise include:
	Design-to-delivery opportunity in one of the worlds largest and complex technology based National ID database
	Work with top notch technology professionals of the world. It is an opportunity for you to learn from their experiences
	Work on practical application of biometrics, encryption and security at UIDAI
	Work on worlds most sophisticated and secure technology architecture
	Work on secure data management practices of worlds largest biometric database and latest security technologies required to protect such a large and critical ecosystem.

What is UIDAI looking for?
UIDAI is looking to recruit young enthusiastic engineering graduates (B.Tech / B.E.) having following qualities & experience:
Desired Qualities:
	Strong problem solving capabilities
	Minimum 75% Marks in 10th and 12th
	Strong programming skills in one or more areas  Java, Hadoop, MySql, iOS, Android
	Ability to design and deploy technological solutions
	Ability to liaison with multiple stakeholders including UIDAI management, Ecosystem partners, vendors etc.
	Ability to solve complex technology and operational problems
	Enthusiastic about research in the area of biometrics, technology and security
	Excellent project management skills and should be a team player
	Excellent technology grasp and comprehension skills
	Excellent organizational and interpersonal skills",,88,"Contract to be signed for a period of 2 years which can be extendable based on performance. (This is not a bond and hence no amount or stipulated conditions). But if a person wants to resign from the organization, he can do so by giving a notice of 3 months.",Hiring only from B.Tech degree,AE_AG_BT_CH_CE_CS_EE_EC_IM_ME_MT_MI_NA,1,Unique Identification Authority of India (UIDAI),1080000 INR  [Gross Taxable Income- 918000],Technical Executive,Online/Offline test (Max 30 mins),0,PLACEMENT
"As a Hardware Engineer at NVIDIA you will design and implement the industry's leading Graphics, Video and Mobile Communications Processors. Specific areas include 2D and 3D graphics, mpeg, video, audio, network protocols, high-speed IO interfaces and bus protocols, and memory subsystem design. You will be responsible for Architecture and micro-architecture design of the ASICs, RTL design and synthesis, Logic and Timing verification using leading edge CAD tools and Semiconductor process technologies

Areas you will be working on 
	ASIC, RTL, DESIGN AND VERIFICATION OF PROCESSORS
	Low Power verification 
	Power Estimation and Modeling
	PCIe Design verification
	Functional / Formal verification",7.0,89,NO,"B,TECH - 7.0 AND ABOVE
M.TECH - 7.0 AND ABOVE",AT_EE_EC_TE,2,Nvidia,"2151800 INR  [BTech Base 1350000 + Joining bonus 300000 (2 Year) + Other benefits including PF/Gratuity 170000 + 163468 || 
Dual/MTech Base 1500000 + Joining Bonus 300000 +Other benefits including PF/Gratuity 180000 + 163468]",ASIC ENGINER,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"SYSTEM SOFTWARE TEAM  GPU / TEGRA 
 The candidate will be working on System softwares various driver modules/features/tools/performance 
 MINIMUM REQUIREMENTS:
· Strong academic background
· M. tech/BTech in Computer Science or E&C Or Information Technology
· Good understanding of programming languages and processor architecture
· Good understanding of Operating System Fundamentals. Knowledge of Linux kernel is a plus
· Strong C/C++ programming skills
· Knowledge of scripting (Perl or python) is a plus
As a software Engineer, the candidate will be responsible for supporting in design and development of software solutions in the areas of Graphics, Video, 2D and 3D graphics under OpenGL and DirectX, ISP, driver stacks for Windows and Linux OS .
Also, the responsibility will include improvement of existing software, micro code and suggesting modifications in hardware acceleration solutions. The candidate will work side by side with Nvidia engineers around the world, as an equal member of a multi-site project team. The candidate has to be highly motivated, enthusiastic,pro-active to achieve high-quality software deliveries.
 Requirements:
	· Candidates should have a solid background in a) Operating System,  Algorithm development, 
	· Knowledge on Object-oriented programing is highly a Plus in C / C++ Or Java
	· The candidate should have an aptitude in innovative and optimal designs.
	· Exposure to Digital Systems , Computer Architecture, Computer Arithmetic, Software Engg., C & C++ programming languages, assembly language programming, system level integration & system level programming is preferred.
Good communications skills and ability and desire to work as a team player are a must.",0.0,89,NO,,CS_EE_EC,3,Nvidia,2151800 INR  [[BTech Base 1350000 + Joining bonus 300000 (2 Year) + Other benefits including PF/Gratuity 170000 + 163468 || Dual/MTech Base 1500000 + Joining Bonus 300000 +Other benefits including PF/Gratuity 180000 + 163468]],SYSTEM SOFTWARE ENGINEER,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"RESEARCH ENGINEER Job Function The candidate will be a member of CEWiT's research team which develops broadband wireless technologies for the future. The job functions may comprise one or more of the following:  Research activities focusing on 5G technologies  Research and development of L1/L2/L3 algorithms for 5G systems  Implementation of new features for CEWiTs Broadband Wireless Simulator (BWSIM) Skills/Experience  Very good understanding of Wireless and Digital Communication /Computer Networks  Strong C/C++ development skills are required  Strong programming knowledge in Verilog/VHDL/HLS is required for VLSI engineers  Experience with Linux, MATLAB and various development and debugging tools is a plus  Hands on using Xilinx and/or Intel Altera evaluation boards and their development tools like Vivado and Quartus is a plus  Working knowledge of wireless technologies such as NR/LTE/WLAN is preferred",0.0,90,2 months notice period on either side for relieving from the job.,"Written test 1.Technical syllabus : Digital Circuits Design, Verilog & VHDL program for VLSI. & Wireless communications, Probability random processing, digital signal processing, signals and system for L1/L2. 2.programming Skills : C,C++, python, Data Structures. Interview There will be at least two rounds of interview for candidates selected based on the written test performance.",CS_EE_EC_TE_MA,1,CEWiT,1100000 INR  [will be provided later],Research Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
