about,address,category,city,com_id,company,country,employees,reference,sector,status,turnover,website,zipcode
,"
58, 1st main road, JP Nagar phase 3
","
Private
",Bangalore,22,Brillio Technologies,India,"
Between 1000 to 5000
","
Self
","
IT/Software
",1,,www.brillio.com,560078
,"
A-05, Sector 132. Express Way Noida
","
MNC
",Noida,23,Adobe Systems,India,,"
Self
","
IT/Software
",0,,www.adobe.com,201304
,"
4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029
","
StartUp
",Bangalore,24,Swiggy,India,"
>5000
","
Self
","
Ecommerce
",1,,https://www.swiggy.com/,560029
,"
no. 30p, 40/C, ITPL Main Road Survey, 31p 32, KEB Colony, Hoodi, Bengaluru, Karnataka 560048
","
Private
",Bangalore,25,NetApp,India,"
>5000
","
Contacted by CDC
","
IT/Software
",0,"
Below 50
",https://www.netapp.com/us/index.aspx,560048
,"
Tower Research Capital Pvt Ltd, Level 3, Two Horizon Centre, DLF-V, Sec 43, Gurgaon 122002
","
Private
",Gurgaon,26,TOWER RESEARCH CAPITAL INDIA PVT. LTD.,India,,"
Self
","
IT/Software
",0,,https://www.tower-research.com/,122002
,"
","
",,27,Sri Ramakrishna Engineering College,,,,"
",0,,,
"
-
","
Kharagpur
","
Other
",Kharagpur,28,"Indian Institute of Technology, KGP",India,"
Between 50 to 100
","
Self
","
Others
",0,,-,721302
,"
","
",,29,Streamvector Technology Pvt Ltd,,,,"
",0,,,
,"
","
",,30,coal india limited,,,,"
",0,,,
"
ADROSONIC was founded in late 2013 with a vision to be an innovative and business focused Digital Consulting firm empowering Organisations with a complete framework of IT Solutions and Services. We are fast-growing digital consulting firm with offices in UK and India having an expertise in:
- Digital Assurance Services (Providing full spectrum of Quality Assurance & Automation including Robotic Process Automation) 
- Application Services - Mobile Application Development 
- Data Analytics 
- CRM Strategic Consulting (Salesforce, CRM Dynamics) 
- Digital Consulting for SMEs Innovating in ways that empower customers to reach anyone in todays connected world.
","
Unit 3&4, 4th Floor, D Wing, ADROSONIC,
","
Private
",Mumbai,31,ADROSONIC IT Consultancy Services Pvt Ltd,India,"
Between 100 to 500
","
Contacted by CDC
","
IT/Software
",1,"
Below 50
",www.adrosonic.com,400059
"
PathPartner is a design services and solutions provider, headquartered in Bangalore in India with an office in US (Fremont, CA) and sales presence across the world (multiple locations in US, Europe, Japan, South Korea and Taiwan). 

Winner of NASSCOMM EMERGE 50  2010, PathPartner has been a Technology Company with approximately 250+ employees and offering software & hardware design services and licensing of software IP & systems solutions. The company is focused on multimedia centric embedded systems such as Mobile handset, Digital Home, Video Conferencing, Thin Client, Digital Video Surveillance, Machine Vision, Automotive Cision and Automotive Infotainment.
","
PSS Plaza, Pathpartner Technology, HAL 3rd Stage, NEw Thippasandra
","
Private,MNC
",Bengaluru,32,Pathpartner Technology,India,"
Between 100 to 500
","
Self
","
Core Engineering,IT/Software
",0,,www.pathpartnertech.com,560075
"
The Wadhwani Institute for Artificial Intelligence is an independent, non-profit research institute and global hub, developing AI solutions for social good.
","
Building 11, 7th Floor, Solitaire Corporate Park
","
NGO
","Mumbai, Maharashtra",33,Wadhwani AI,India,"
Below 50
","
Contacted by CDC
","
NGO
",0,,https://eng.wadhwaniai.org/,400093
,"
","
",,34,Swiggy,,,,"
",0,,,
"
As the industry's first enterprise energy analytics and customer engagement platform provider, Bidgely's
utility artificial intelligence (AI) solutions transform utility meter data into business intelligence for
optimizing shareholder value, personalizing the customer experience and modernizing the grid. Bidgely's
mission to be a trusted AI partner helps utilities solve daily challenges related to home energy
management, customer satisfaction, operational efficiency and new revenue models. With roots in Silicon
Valley, the company has invested $30M in R&D, retains 30+ data scientists and brings a passion for AI to
utilities serving residential customers around the world. For more information, please visit
www.bidgely.com or the Bidgely blog at bidgely.com/blog.
","
4th Floor B-3, Indiqube Alpha Building, Junction,, Marathahalli - Sarjapur Outer Ring Rd, Panathur, Bengaluru, Karnataka 560103
","
Private
",Bangalore,35,Bidgely Technologies,India,"
Between 100 to 500
","
Alumini Contact
","
Core Engineering
",1,,www.bidgely.com,560103
"
ad
","
as
","
NGO
",ads,36,prakhar,ads,"
Below 50
","
Self
","
IT/Software
",0,"
Below 50
",asd,214312
,"
Unilever House,B.D.Sawant Marg,Chakal, Andheri(East)
","
MNC
",Mumbai,37,Hindustan Unilever Limited,India,"
>5000
","
Self
","
Manufacturing
",0,,www.hul.co.in,400099
,"
","
",,38,GROUND Inc.,,,,"
",0,,,
,"
A-24/10, Mohan Cooperative Industrial Estate
","
Private
",New Delhi,39,Air Liquide Global E&C Solutions,India,"
Between 100 to 500
","
Self
","
Core Engineering
",1,,www.engineering-airliquide.com,110044
"
Webstaff Co., Ltd is a part of Internet Business Japan Group. Webstaff is involved in recruitment activities especially related to the field of IT.
","
Webstaff Co., Ltd 5th Floor, Infoss Tower, 20-1 Sakuragaoka Cho, Shibuya Ward, Tokyo 150-0031
","
Private
",Tokyo,40,"Webstaff Co., Ltd",Japan,"
Below 50
","
Self
","
IT/Software
",0,,webstaff.in webstaff.jp,1500031
"
Nutanix makes infrastructure invisible, elevating IT to focus on the applications and services that power their business. The Nutanix enterprise cloud platform leverages web-scale engineering and consumer-grade design to natively converge compute, virtualization and storage into a resilient, software-defined solution with rich machine intelligence. The result is predictable performance, cloud-like infrastructure consumption, robust security, and seamless application mobility for a broad range of enterprise applications. 

The Nutanix solution enables easy deployment of any virtual workload, including large-scale virtual desktop initiatives (VDI), development/test apps, private clouds, big data (Hadoop) projects and more. Nutanix customers can radically simplify and seamlessly scale out their datacenter infrastructures with cost-efficient appliances that can be deployed in under 30 minutes for rapid time to value.

The Nutanix Engineering team is led by the same developers and architects who created the renowned Google File System. The company's management team hails from leading cloud, database, virtualization and infrastructure companies, and brings unparalleled experience in developing technologies that fundamentally disrupt multi-billion dollar markets.
","
Nutanix, The Hub,
","
MNC
",Bangalore,41,Nutanix Technologies,India,"
Between 1000 to 5000
","
Contacted by CDC
","
IT/Software
",1,"
Between 1000 to 5000
",https://www.nutanix.com/en,560103
"
We are world's best Beer Company
","
Peridot Block, 12th & 13th Floor,Bagmane World Technology Centre SEZ,K.R.Puram Marathalli Ring Road,Bengaluru -560048, Karnataka, India CIN - U74900KA2014FTC077722 Ph No: +91-80-4676-9100
","
MNC
",Bangalore,42,AB InBev,India,"
>5000
","
Contacted by CDC
","
Others
",1,"
>5000
",https://www.ab-inbev.com/,560048
"
Fleapo Corporation is a mobile app development company. Basically deal with developing ideas that can act as a key tool to support the company's growth and innovation, collaborating with innovative minds to complete projects efficiently, creating preliminary working models of the products for a better understanding of the startup idea and do viability testing. Fleapo is Headquartered in India, with offices in Kosovo, the UK and is currently on an Expansion Spree.
","
Room no. 1105, 11th Floor, Martin Burn Business Park
","
Private
",Kolkata,43,Fleapo Corporation,India,"
Below 50
","
Alumini Contact
","
IT/Software
",0,"
Below 50
",https://www.fleapo.com/index,700091
"
Gameskraft is a gaming company launched in June 2017 by a group of highly-experienced tech professionals who are also passionate gamers. We exist to deliver web and mobile games with intuitive design and a seamless user experience. While crafting these products, we ensure our games our completely safe, secure, and ethical.

Already hundreds of thousands of gamers across the country are hooked on to our current product, a Rummy game. Yet, this is a humble start. From the fastest-growing gaming startup of the country, we are all set to become the most-loved gaming company of India. As a proof of the pudding, our online rummy game is already counted among the best rummy sites in India. If youd like to join our passionate and result-oriented team.
our product Rummyculture is boom in market now and counted as Top Three Rummy Sites in India.
","
No. 257, incubex nestavera 2nd floor, 5th Main Rd,
","
Private
",Bengaluru,44,Gameskraft Technologies,India,"
Between 100 to 500
","
Self
","
IT/Software
",0,"
Between 500 to 1000
",https://www.gameskraft.in/,560102
,"
Hiranandani Busienss Park, Nomura Building, Powai
","
MNC
",Mumbai,45,Nomura Structured Finance Services India Pvt. Ltd.,India,"
>5000
","
Self
","
Finance
",1,,www.nomura.com,400076
,"
","
",,46,B A COLLEGE OF ENGINEERING & TECHNOLOGY,,,,"
",0,,,
"
Grab is more than just the leading ride-hailing and mobile payments platform in Southeast Asia. We use data and technology to improve everything from transportation to payments and financial services across a region of more than 620 million people. We work with governments, drivers, passengers, merchants, and the community, to solve critical problems in Southeast Asia. Grab began as a taxi-hailing app in 2012, but we have since extended our product platform to include GrabCar, GrabShare, GrabBike, GrabHitch, GrabExpress, GrabFood, GrabCoach, GrabShuttle, GrabCycle. We recently launched our fintech platform  GrabFinancial, which consists of payments, lending and insurance. Our latest addition is GrabVentures, an in-house incubation platform. We are focused on pioneering new commuting and payment alternatives for drivers and passengers with an emphasis on convenience, safety, and reliability. Currently, we offer services in 8 countries. Our R&D offices are in Singapore, Seattle, Beijing, Bangalore, Jakarta and Vietnam. We aspire to unlock the true potential of Southeast Asia and look for like-minded individuals to join us on this ride.
","
Salarpuria Adonis Ground Floor Binnamangala, Swamy Vivekananda Rd, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038
","
Private
",Bangalore,47,GRAB,India,"
Between 100 to 500
","
Self
","
Core Engineering
",0,,https://www.grab.com/sg/,560038
"
We are a scaling digital services company that leverages latest technologies and methodologies to create solutions that deliver value for you and your customers. We practice creative engineering, innovation and product development culture to deliver high quality products and consulting for you.

The company has built a strong global team comprising of highly skilled engineers, architects, testers, user experience designers and project managers. The team has delivered exemplary mobility, device and cloud solutions for its partners and Fortune 500 customers.

Most notably, the team has deep experience with product development services to design and develop standalone, web, mobile applications for a wide array of customers. Our services include product concept visioning, user-experience design, usability testing, prototyping, development, porting and localization, and software testing

Organizationally we have created technical center of excellence called Studios which helps our customers to get innovative solutions with project mangement added on top of it to achieve your goals.
","
3rd Floor,Galore IT Tech Park, Survey No .22, Bavdhan Khurd,
","
Private
",Pune,48,Infogen Labs Pvt Ltd,India,"
Between 100 to 500
","
Self
","
IT/Software
",0,,www.infogen-labs.com,411021
"
Spica Systems specializes in :
 **BuildingSoftware for Kubernetes Managed Enterprise Cloud (AWS, Azure, GCP) Applications.
 **BuildingNetworking Protocol Software Stack for Routers, Switches.
 **BuildingSoftware for Medical Device Company, Analytic Software forSurgical Planning Process.
 **Building Products in areas such as IoT, Block-chain, Cloud Computing and AI/Machine Learning Space ​.
​ **Provide Software Development and Consulting Services in Cloud, Data Analytic, SDN, Security Area.
 
Company is Head-Quartered inSan Jose, California, US with Offices in Calcutta, India with plans to expand in
 Bangalore as the second Development Center in India.
","
42572 Gage CT
","
StartUp
",Fremont,49,Spica Systems,US,"
Below 50
","
Alumini Contact
","
Core Engineering,IT/Software,Analytics,Consulting
",0,"
Below 50
",www.spicasys.com,94538
"
PeopleStrong is trusted by 250+ leading organizations to manage and simplify work life of over 700,000 employees across India. On its journey of writing the #NewCodeofWork, PeopleStrong delivers its technology and services in one offering, using its on-demand technology product PeopleStrong Alt, which has distilled tens of thousands of hours of natural research and development (R&D)  a decade long experience of servicing the HR functions of top Indian companies. Known for its penchant to innovate, PeopleStrong has many firsts to its name, the recent one being the application of Machine Learning in Recruitment (through Match Making) and Employee Experience (through Indias first HR Chatbot Jinie). PeopleStrong is the first company in the space to be successfully assessed on SSAE18 and recently won the prestigious CIOs Choice Award for Talent Management on Cloud.
","
A-10, Infocity -1, Sector - 34, Gurgaon
","
Private
",New Delhi,50,PeopleStrong,India,"
>5000
","
Alumini Contact
","
IT/Software
",0,,http://www.peoplestrong.com,122002
,"
Salarpuria Aura, Kadubessanahalli
","
MNC
",Bangalore,51,Walmart Labs,India,"
Between 1000 to 5000
","
Self
","
IT/Software
",0,"
>5000
",walmart.com,560103
"
Capital Float is an online platform that provides working capital finance to SMEs in India.
","
Sadashiva Nagar, Armane Nagar
","
Private,StartUp
",Bengaluru,52,Capital Float,India,"
Between 500 to 1000
","
Contacted by CDC
","
Finance,Analytics
",0,,https://www.capitalfloat.com/,560080
"
Expert advice. Wealth management. Investment
banking. Asset management. Retail banking in
Switzerland. And all the background support.
Thats what we do. We work across continents.
Here in Pune, Mumbai and Hyderabad, we play an
important role in a leading global financial services
company
","
Unit No. 1201, 1301, 1401, Building No 2,Gigaplex, I.T.5, MIDC Knowledge Park, T.T.C Industrial Area, Airoli West, Navi Mumbai - 400708
","
MNC
",Navi Mumbai,53,UBS,India,"
>5000
","
Contacted by CDC
","
Finance
",1,"
>5000
",www.UBS.com,400708
"
www.intuit.com

Our Mission is powering prosperity around the world
 
We do it by attracting the worlds top talent, bringing vital partners into our global platform, and leaving the world a better place through exceptional corporate citizenship. 

More Money, More Time, More Confidence
 Whatever prosperity means to you, were committed to working on your behalf and making it happen. Every day we innovate with our flagship products - TurboTax, QuickBooks, and Mint. So no matter your financial need, we have a solution that can help. Whether youre a consumer, self-employed, or a small business owner, were in your corner to help make your dreams of prosperity come true.
 
The Power of Many
We tap our global ecosystem of partners and usersall ~50 million of themfor high-value insights. Then we put that power at your fingertips by delivering awesome product experiences. We focus the power of many, to drive the prosperity of one.
","
Intuit India Product Development Centre, Building 4A, 7th floor, RMZ Ecospace, Bellandur Outer Ring Road
","
MNC
",Bangalore,54,INTUIT,Karnataka,"
Between 1000 to 5000
","
Self
","
IT/Software
",0,"
>5000
",www.intuit.com,560024
,"
","
",,55,Dufil Prima Foods Plc,,,,"
",0,,,
,"
Plot No. 2A Sector 126 Noida-201304
","
MNC
",Uttar Pradesh,56,SAMSUNG R&D INSTITUTE INDIA-DELHI,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Core Engineering,IT/Software
",1,"
>5000
",www.samsung.com,201304
,"
","
",,57,Tavisca Solutions Private Limited,,,,"
",0,,,
,"
Tec Meadows Campus
","
Private,StartUp
",Chennai,58,Blackstraw AI,India,"
Between 50 to 100
","
Self
","
IT/Software
",0,,https://www.blackstraw.ai/,600119
"
Symphony RetailAI is the leading global provider of Artificial Intelligence-enabled decision platforms, solutions and customer-centric
insights that drive validated growth for retailers and CPG manufacturers, from customer intelligence to personalized marketing, and
merchandising and category management, to supply chain and retail operations. Our organization is innovating rapidly to drive faster,
more profitable decisions through AI, machine learning and voice technologies. We are trusted by over 1,200 organizations including 15
of the worlds 25 largest grocery retailers, thousands of retail brands, and hundreds of national and regional chains worldwide to help
solve their toughest business problems, through AI-powered customer intelligence and retail solutions.
","
SJR I Park, Tower-3, Fifth Floor, Plot No.13, 14 &15, Sy No.143 & 151, EPIP Zone, Whitefield
","
Private,MNC
",BANGALORE,59,Symphony RetailAI,India,"
Between 1000 to 5000
","
Alumini Contact
","
IT/Software,Analytics,Consulting
",0,"
Between 1000 to 5000
",www.symphonyretailai.com,560066
"
We would like to avail this opportunity to introduce essentia environments, Indias premier design and build company.
At essentia environments we believe that beauty should not be a luxury available only to those select few lucky enough to be born with a platinum spoon, but to all as lifes basic necessity, grace and elegance are not just sentiments to strive for, they are embodied in all the things around us. Knowing this we simply answer the inner calling of those who want to live artistically and in beautiful spaces that enhance the sense of being.
We now aim to expand our horizons and give enthusiastic candidates to be a part of our organisation.
","
E-40, South City 1, Sector 40
","
Private
",Gurugram,60,Adrem India Pvt. Ltd. (essentia environments),India,"
Between 100 to 500
","
Self
","
Construction,Others
",0,"
Between 50 to 100
",essentiaenvironments.com,122001
,"
C-201, DevX, The First, BH Keshavbaug Party Plot, Vastrapur
","
StartUp
",Ahmedabad,61,Quixote Automotive Technologies Pvt. ltd.,India,"
Below 50
","
Self
","
IT/Software,Automobile
",0,"
Below 50
",www.quixote.in,380015
"
Huawei Global Huawei is a leading global information and communications technology (ICT) solutions provider. Driven by customer-centric innovation and open partnerships, Huawei has established an end-to-end ICT solutions portfolio that gives customers competitive advantages in telecom and enterprise networks, devices and cloud computing. Huaweiâs 180,000 employees worldwide are committed to creating maximum value for telecom operators, enterprises and consumers. Our innovative ICT solutions, products and services are used in more than 170 countries and regions, serving over one-third of the worldâs population. Huawei Technologies India Huawei India R&D Center is engaged in component/platform/product development aligned with Huaweiâs global product development strategy, roadmap, architecture & solutions. Established in the year 2000 in Bengaluru, the India R&D center is engaged in developing cutting-edge software solutions, products and platforms in the areas of IP based data transmission networks, intelligent networks, BSS, OSS, terminal devices and future-oriented technologies including SDN, big data, cloud, mobile internet, digital services. With employee strength of over 3000 software engineers, market technical support engineers and management professionals, the India R&D center is one of the largest overseas software development center of Huawei. Huawei India R&D Center has evolved to play a bigger role in the innovation journey of Huawei, develop future-oriented technologies, and support the digital transformation of the society.
","
Huawei Technologies India Pvt Ltd Survey No: 37, Next to EPIP Area, Kundalahalli, Whitefield Bengaluru, Karnataka  560066
","
MNC
",Bangalore,62,Huawei Technologies,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Telecommunication
",0,"
>5000
",http://https//www.huawei.com,560066
"
MinersINC is a blockchain-powered entertainment ecosystem. myNK is Indias First micro-distribution enabled Community-Driven Entertainment Platform that connects content owners with content consumers directly over a secured & transparent network.

myNK is a flagship product from MinersINC - curated, community-driven, blockchain-powered OTT platform for the Cinema & Music aficionado.
","
702, Pama Arcade, 2nd floor, 3C, 1st Block, HRBR layout
","
Private
",Bangalore,63,MinersINC,India,"
Between 50 to 100
","
Contacted by CDC
","
IT/Software
",0,"
Below 50
",http://minersinc.io,560043
"
IBM India since 1992 provides solutions and services spanning all major industries including financial services, healthcare, government, automotive, telecommunications and education, among others. As a trusted partner with wide-ranging service capabilities, IBM helps clients transform and succeed in challenging circumstances. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, uniquely distinguishes IBM India from other companies in the industry. 
We are a global technology and innovation company headquartered in Armonk, NY. 
We are the largest technology employer in the world and employ 380,000 IBMers serving clients in 170 countries.
In 2018, we generated almost $80 billion in revenue.
We invest more than $6 billion a year in R&D, and just completed our 24th year of patent leadership.
We live at the intersection of business and technology and today, we are a cognitive solutions and cloud platform company, transforming entire industries.
","
Manyata Tech Park - Back gate 5, Block D4, Outer Ring Road, Nagawara, Rachenahalli Main Rd, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru, Karnataka 560045
","
MNC
",Bangalore,64,IBM Labs,India,"
>5000
","
Self
","
IT/Software
",1,"
>5000
",https://www.ibm.com/in-en/employment/,560045
,"
102-103, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066
","
MNC
",Bangalore,65,AMD,India,"
>5000
","
Self
","
Core Engineering
",0,"
>5000
",https://www.amd.com,560066
"
Sigmoid is a Leading Data Solutions company offering best-in-class services in Data Engineering and Data Science. Our 200+ team is strongly driven by the passion to unravel data complexities. We generate actionable insights and translate them into successful business strategies.

We leverage our expertise in Open Source and Cloud Technologies to develop innovative frameworks catering to specific client needs. Our unique approach has positively influenced the business performance of our Fortune 1000 clients across the globe. We have a particularly strong presence in Advertising Technology, Retail-CPG and BFSI, wherein we are working with Top-3 players in each of these sectors.

We are recognized among the world's most innovative tech companies, and have won several awards like the TiE50 Winners (2018) and NASSCOM Emerge 50 (2017), among others. 
Backed by Sequoia and Qualcomm Ventures, Sigmoid operates out of California- San Francisco and Santa Clara, New Jersey and Bengaluru, India.
","
7, 3rd floor, Lightspro Building, Gulmohar Enclave Road, Kundanahalli Gate, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560037
","
Private,StartUp
",Bangalore,66,Sigmoid,India,"
Between 100 to 500
","
Alumini Contact
","
Core Engineering,IT/Software,Analytics
",1,"
Between 500 to 1000
",https://www.sigmoid.com/,560037
"
Samsungs emphasis on Innovation and Research & Development is essential to its business. 
In order to inculcate a culture of global as well as local innovation, Samsung has a number of R&D centres strategically spread across the globe. India is amongst the hotspots of 
Samsung's innovation strategy.
SRI-Noida is the one of the largest Overseas R&D Centre of Samsung Electronics. 
Founded in 2007, SRI-N has grown to be a significant contributor to innovation, filing patents, working on cutting edge products and services and developing applications like the S-Bike mode, turbo speed technology etc. Our engineers, from top Engineering Institutes across India, conceptualize and commercialize novel features, designs, products and services that differentiate Samsung as a market leader and deliver world-class products. SRI-N has become one of the major centres of OS Upgrade Development and is now focusing into advance R&D.
","
Sector-62, Noida
","
MNC
",Noida,67,"Samsung R&D Institute India, Noida",Uttar Pradesh,"
Between 1000 to 5000
","
Contacted by CDC
","
IT/Software
",1,"
>5000
",www.samsung.com,201301
"
Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $2.0 trillion in assets. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, insurance, investments, mortgage, and consumer and commercial finance through more than 8,500 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 42 countries and territories to support customers who conduct business in the global economy.With approximately 273,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 25 on Fortunes 2017 rankings of Americas largest corporations. Wells Fargos vision is to satisfy our customers financial needs and help them succeed financially. News, insights and perspectives from Wells Fargo are also available at http://wellsfargo.com/stories.

About Enterprise Global Services
Enterprise Global Services (EGS) enables global talent capabilities for Wells Fargo Bank NA., by supporting over half of Wells Fargo's business lines and staff functions across Technology, Business Services, Risk Services and Knowledge Services. EGS operates in Hyderabad, Bengaluru and Chennai in India and in Manila, Philippines. Learn more about EGS at our https://www.wellsfargojobs.com/egs.
","
Embassy Tech Village, Deverabeesanahalli, VarthurHobli, ORR, Bangalore  560 103
","
Private
",Bangalore,68,Wells Fargo,India,"
>5000
","
Self
","
IT/Software,Finance,Analytics
",1,"
>5000
",www.wellsfargo.com,560 103
,"
Buidling 1, Microsoft Campus, Gachibowli
","
MNC
",Hyderabad,69,Microsoft India Pvt. Ltd.,India,"
>5000
","
Self
","
IT/Software
",1,"
>5000
",www.microsoft.com,500032
